,date,currency,code,bid,ask
5222,2018-12-14,korona dunska,DKK,0.5697,0.5813
5223,2018-12-14,korona norweska,NOK,0.4370000000000001,0.4458
5224,2018-12-14,korona szwedzka,SEK,0.4148,0.4232
5225,2018-12-14,SDR (MFW),XDR,5.1772,5.2818
5226,2018-12-17,dolar amerykanski,USD,3.7393,3.8149
5227,2018-12-17,dolar australijski,AUD,2.6856,2.7398
5228,2018-12-17,dolar kanadyjski,CAD,2.7906,2.847
5229,2018-12-17,euro,EUR,4.2417,4.3273
5230,2018-12-17,forint (Wegry),HUF,0.013112,0.013376
5231,2018-12-17,frank szwajcarski,CHF,3.7671,3.8433
5232,2018-12-17,funt szterling,GBP,4.714,4.8092
5233,2018-12-17,jen (Japonia),JPY,0.033106000000000003,0.033774
5234,2018-12-17,korona czeska,CZK,0.1644,0.1678
5235,2018-12-17,korona dunska,DKK,0.5681,0.5795
5236,2018-12-17,korona norweska,NOK,0.4333,0.4421
5237,2018-12-17,korona szwedzka,SEK,0.4125,0.4209
5238,2018-12-17,SDR (MFW),XDR,5.1831,5.2879
5239,2018-12-18,dolar amerykanski,USD,3.7323,3.8077
5240,2018-12-18,dolar australijski,AUD,2.6878,2.7422
5241,2018-12-18,dolar kanadyjski,CAD,2.7818,2.838
5242,2018-12-18,euro,EUR,4.2421,4.3279
5243,2018-12-18,forint (Wegry),HUF,0.01314,0.013406
5244,2018-12-18,frank szwajcarski,CHF,3.7609,3.8369
5245,2018-12-18,funt szterling,GBP,4.7195,4.8149
5246,2018-12-18,jen (Japonia),JPY,0.033156,0.033826
5247,2018-12-18,korona czeska,CZK,0.1646,0.168
5248,2018-12-18,korona dunska,DKK,0.5681,0.5795
5249,2018-12-18,korona norweska,NOK,0.429,0.4376
5250,2018-12-18,korona szwedzka,SEK,0.4128,0.4212
5251,2018-12-18,SDR (MFW),XDR,5.1721,5.2765
5252,2018-12-19,dolar amerykanski,USD,3.7099,3.7849
5253,2018-12-19,dolar australijski,AUD,2.6666,2.7204
5254,2018-12-19,dolar kanadyjski,CAD,2.7613,2.8171
5255,2018-12-19,euro,EUR,4.2405,4.3261
5256,2018-12-19,forint (Wegry),HUF,0.013155000000000002,0.013421
5257,2018-12-19,frank szwajcarski,CHF,3.7419,3.8175
5258,2018-12-19,funt szterling,GBP,4.7001,4.7951
